id,name,country,url,founded,summary,note
beyond-the-ultimate,Beyond The Ultimate,イギリス,https://www.beyondtheultimate.co.uk/,,ケニアの「For Rangers Ultra」やジャングル・砂漠・極地の Ultimate シリーズを主催する英国のレースオーガナイザー。,
canal-aventure,Canal Aventure,フランス,https://www.canal-aventure.com/en,,モザンビーク・オーストラリア・ボリビアなど地球各地でセルフサポート式ステージレースを主催するフランスのレースオーガナイザー。,
grup-adeaventura,Grup Adeaventura,スペイン,http://www.everesttrailrace.com/en,,ネパール・ヒマラヤを舞台とする「Everest Trail Race」を主催するスペインのアウトドアイベント運営団体。,
legendary-sports,Legendary Sports,ルーマニア,https://ultraraceromania.ro/,,ルーマニア・トランシルヴァニア山脈を舞台とする「Ultra Race Romania」を主催する東欧のレースオーガナイザー。,
marathon-des-sables,Marathon des Sables,フランス,https://www.marathondessables.com/en,1986,モロッコ・サハラ砂漠の MDS を起点に、ヨルダン・ペルー・トルコ・フランスなどで姉妹大会を展開する世界最大級のステージレースブランド。,
mohamad-ahansal-raidlight,Mohamad Ahansal / Raidlight (Benoît Laval),モロッコ,https://trans-sahara-marathon.com/,,MDS 優勝経験を持つモハマド・アハンサル氏と Raidlight 創業者ベノワ・ラヴァル氏の共同運営。「Trans Sahara Marathon」を主催。,
naturetime-events,Naturetime Events,スペイン,https://mongoliatrailrun.com/en/inicio-english/,,モンゴルの草原・テレルジ国立公園を舞台とする「Mongolia Trail Run」を主催するアウトドアイベント運営団体。,
tess-and-colin-geddes,Tess and Colin Geddes,アメリカ合衆国,https://g2gultra.com/,,アメリカ・アリゾナ州の「Grand to Grand Ultra」を主催する Geddes 夫妻による独立系オーガナイザー。,
racing-the-planet,Racing The Planet,香港,https://www.racingtheplanet.com/,,「4 Deserts」シリーズ（アタカマ・ナミブ・ゴビ・南極）を起点に、ジョージア・ラップランドなど世界各地でセルフサポート式 250km ステージレースを主催する香港拠点のオーガナイザー。,
global-limits,Global Limits,ドイツ,https://www.global-limits.com/,,サントメプリンシペ・バルカン・ウズベキスタン・カンボジアなど、観光地化されていない地域を舞台にサポート方式のステージレースを主催するドイツのレースオーガナイザー。全レース完走者には「Heritage Runner」の称号が与えられる。,
southern-lakes-events,Southern Lakes Events,ニュージーランド,https://southernlakesultra.com/,,ニュージーランド南島の湖水地方を舞台とする「Southern Lakes Ultra」を主催する現地のレースオーガナイザー。,
